A00.0,Cholera wywołana przecinkowcem klasycznym Vibrio cholerae 01, biotyp cholerae
A00.1,Cholera wywołana przecinkowcem Vibrio cholerae 01, biotyp El-Tor
A00.9,Cholera, nieokreślona
A01.0,Dur brzuszny
J12.9,Nieokreślone wirusowe zapalenie płuc
J13,Zapalenie płuc wywołane paciorkowcami (Stereptococcus pneumoniae)
J14,Zapalenie płuc wywołane pałeczką grypy (Haemophilus influenzae)
J15.0,Zapalenie płuc wywołane pałeczką zapalenia płuc (Klebsiella pneumonia)
J15.1,Zapalenie płuc wywołane przez Pseudomonas
J15.2,Zapalenie płuc wywołane przez gronkowce
J15.3,Zapalenie płuc wywołane przez paciorkowce grupy B
J15.4,Zapalenie płuc wywołane przez inne paciorkowce
J15.5,Zapalenie płuc wywołane przez pałeczkę okrężnicy (Eschericha coli)
J15.6,Zapalenie płuc wywołane przez inne tlenowe bakterie Gram-ujemne
J15.7,Zapalenie płuc wywołane przez Mycoplasma pneumoniae
J15.8,Zapalenie płuc wywołane innymi bakteriami
J15.9,Nieokreślone bakteryjne zapalenie płuc
J16.0,Zapalenie płuc wywołane przez chlamydie
J16.8,Zapalenie płuc wywołane przez inne określone drobnoustroje
J17.0,Zapalenie płuc w przebiegu chorób (zakaźnych) bakteryjnych sklasyfikowanych gdzie indziej
J17.1,Zapalenie płuc w przebiegu chorób zakaźnych wirusowych sklasyfikowanych gdzie indziej
J17.2,Zapalenie płuc w przebiegu grzybicy
J17.3,Zapalenie płuc w przebiegu chorób pasożytniczych
J17.8,Zapalenie płuc w przebiegu innych chorób sklasyfikowanych gdzie indziej
J18.0,Nieokreślone odoskrzelowe zapalenie płuc
J18.1,Nieokreślone płatowe zapalenie płuc
J18.2,Nieokreślone hipostatyczne zapalenie płuc
J18.8,Zapalenie płuc wywołane innymi nieokreślonymi drobnoustrojami
J18.9,Nieokreślone zapalenie płuc
J20.0,Ostre zapalenie oskrzeli wywołane przez Mycoplasma pneumoniae
J20.1,Ostre zapalenie oskrzeli wywołane przez pałeczkę grypy (Haemophilus influenzae)
J20.2,Ostre zapalenie oskrzeli wywołane przez paciorkowce
J20.3,Ostre zapalenie oskrzeli wywołane przez wirus Coxsackie
J20.4,Ostre zapalenie oskrzeli wywołane przez wirus paragrypy
J20.5,Ostre zapalenie oskrzeli wywołane przez wirus RS
J20.6,Ostre zapalenie oskrzeli wywołane przez rinowirus
J20.7,Ostre zapalenie oskrzeli wywołane przez echowirus
J20.8,Ostre zapalenie oskrzeli wywołane innym określonym drobnoustrojem
J20.9,Nieokreślone ostre zapalenie oskrzeli
J21.0,Ostre zapalenie oskrzelików wywołane wirusem RS
J21.8,Ostre zapalenie oskrzelików wywołane innymi określonymi drobnoustrojami
J21.9,Nieokreślone ostre zapalenie oskrzelików
J22,Nieokreślone ostre zakażenie dolnych dróg oddechowych
J30.0,Naczynioruchowe zapalenie błony śluzowej nosa
J30.1,Uczuleniowe zapalenie błony śluzowej nosa spowodowane pyłkami kwiatowymi
J30.2,Inne sezonowe uczuleniowe zapalenie błony śluzowej nosa
J30.3,Inne uczuleniowe zapalenie błony śluzowej nosa
J30.4,Nieokreślone uczuleniowe zapalenie błony śluzowej nosa
J31.0,Przewlekłe zapalenie błony śluzowej nosa
J31.1,Przewlekłe zapalenie błony śluzowej jamy nosowej i gardła
J31.2,Przewlekłe zapalenie błony śluzowej gardła
J32.0,Przewlekłe zapalenie zatok szczękowych
J32.1,Przewlekłe zapalenie zatok czołowych
J32.2,Przewlekłe zapalenie komórek sitowych
J32.3,Przewlekłe zapalenie zatok klinowych
J32.4,Przewlekłe zapalenie wszystkich zatok przynosowych
J32.8,Inne przewlekłe zapalenie zatok
J32.9,Nieokreślone przewlekłe zapalenie zatok
J33.0,Polip jamy nosowej
J33.1,Zwyrodnienie polipowate zatok
J33.8,Inne polipy zatok
J34.0,Ropień, czyrak mnogi i czyrak nosa
J34.1,Torbiel i śluzowiak zatoki przynosowej
J34.3,Przerost małżowin nosowych
J34.8,Inne określone schorzenia nosa i zatok przynosowych
J35.0,Przewlekłe zapalenie migdałków
J35.1,Przerost migdałków podniebiennych
J35.2,Przerost migdałka gardłowego
J35.3,Przerost migdałków podniebiennych współistniejący z przerostem migdałka gardłowego
J35.8,Inne przewlekłe choroby migdałków podniebiennych i migdałka gardłowego
J35.9,Nieokreślona przewlekła choroba migdałków podniebiennych lub migdałka gardłowego
J36,Ropień okołomigdałkowy
J37.0,Przewlekłe zapalenie krtani
J37.1,Przewlekłe zapalenie krtani i tchawicy
J38.0,Porażenie strun głosowych i krtani
J38.1,Polip struny głosowej lub krtani
J38.2,Guzki strun głosowych
J38.3,Inne choroby strun głosowych
J38.4,Obrzęk krtani
J38.5,Skurcz krtani
J38.6,Zwężenie krtani
J38.7,Inne choroby krtani
J39.0,Ropień pozagardłowy i okołogardłowy
J39.1,Inne ropnie gardła
J39.2,Inne choroby gardła
J39.3,Nadwrażliwa reakcja górnych dróg oddechowych o nieokreślonym umiejscowieniu
J39.8,Inne określone choroby górnych dróg oddechowych
J40,Zapalenie oskrzeli nieokreślone jako ostre albo przewlekłe
J41.0,Przewlekłe proste zapalenie oskrzeli
J41.1,Przewlekłe zapalenie oskrzeli śluzowo-ropne
J41.8,Przewlekłe zapalenie oskrzeli mieszane: proste i śluzowo-ropne
J42,Nieokreślone przewlekłe zapalenie oskrzeli
J43.0,Zespół MacLeoda
J43.1,Rozedma całego zrazika (płuca)
J43.2,Rozedma środkowej części zrazika (płuca)
J43.8,Inna rozedma płuc
J43.9,Nieokreślona rozedma płuc
J44.0,Przewlekła zaporowa choroba płuc z ostrym zakażeniem dolnych dróg oddechowych
J44.1,Nieokreślona przewlekła zaporowa choroba płuc w okresie zaostrzenia
J44.8,Inna określona przewlekła zaporowa choroba płuc
J44.9,Nieokreślona przewlekła zaporowa choroba płuc
J45.0,Dychawica oskrzelowa w głównej mierze z przyczyn uczuleniowych
J45.1,Dychawica oskrzelowa nieuczuleniowa
J45.8,Dychawica oskrzelowa mieszana
J45.9,Nieokreślona dychawica oskrzelowa
J46,Stan astmatyczny
J47,Rozstrzenie oskrzeli
J60,Pylica górników kopalń węgla
J61,Pylica spowodowana azbestem lub innymi włóknami mineralnymi
J62.0,Pylica wywołana talkiem
J62.8,Pylica wywołana innymi pyłami zawierającymi krzemionkę
J63.0,Aluminoza (płuca)
J63.1,Zwłóknienie boksytowe (płuca)
J63.2,Beryloza (pylica berylowa) (Berylliosis)
J63.3,Zwłóknienie grafitowe (płuca) (pylica grafitowa)
J63.4,Syderoza
J63.5,Stannoza
J63.8,Pylica wywołana innymi określonymi pyłami nieorganicznymi
J64,Nieokreślona pylica płuc
J65,Pylica płuc współistniejąca z gruźlicą
J66.0,Bysynoza
J66.1,Choroba obrabiających len
J66.2,Choroba palaczy haszyszu
J66.8,Choroba dróg oddechowych wywołana innymi określonymi pyłkami organicznymi
J67.0,Płuco rolnika
J67.1,Bagasoza
J67.2,Płuco hodowców ptaków
J67.3,Korkowica (Suberosis)
J67.4,Płuco pracujących przy słodzie
J67.5,Płuco pracujących przy przerobie grzybów
J67.6,Płuco korujących klony
J67.7,Płuco osób przebywających w pomieszczeniach sztucznie klimatyzowanych lub nawilżanych
J67.8,Zapalenie płuc z nadwrażliwości wywołane innymi pyłami organicznymi
J67.9,Zapalenie płuc z nadwrażliwości wywołane nieokreślonym pyłem organicznym
J68.0,Zapalenie oskrzeli i płuc wywołane czynnikami chemicznymi, gazami lub parami
J68.1,Ostry obrzęk płuc wywołany czynnikami chemicznymi, gazami lub parami
J68.2,Zapalenie górnych dróg oddechowych wywołane czynnikami chemicznymi, gazami lub parami niesklasyfikowane gdzie indziej
J68.3,Inne ostre lub podostre stany układu oddechowego wywołane przez czynniki chemiczne, gazy lub pary
J68.4,Stany chorobowe przewlekłe układu oddechowego wywołane przez czynniki chemiczne, gazy lub pary
J68.8,Inne choroby układu oddechowego wywołane przez czynniki chemiczne, gazy lub pary
J68.9,Nieokreślona choroba układu oddechowego wywołana czynnikami chemicznymi, gazami lub parami
J69.0,Zapalenie płuc wywołane zachłyśnięciem się pokarmem lub wymiocinami
J69.1,Zapalenie płuc wywołane wdychaniem olejów lub smarów
J69.8,Zapalenie płuc wywołane innymi ciałami stałymi lub ciekłymi
J70.0,Ostre objawy płucne wywołane napromieniowaniem
J70.1,Przewlekłe i inne objawy płucne wywołane napromieniowaniem
J70.2,Ostre zaburzenia tkanki śródmiąższowej płuc wywołane lekami
J70.3,Przewlekłe zaburzenia tkanki śródmiąższowej płuc wywołane lekami
J70.4,Nieokreślone zaburzenia tkanki śródmiąższowej płuc wywołane lekami
J70.8,Zaburzenia układu oddechowego wywołane innymi określonymi czynnikami zewnętrznymi
J70.9,Zaburzenia układu oddechowego wywołane nieokreślonymi czynnikami zewnętrznymi
J80,Zespół ciężkiej niewydolności oddechowej u dorosłych
J81,Obrzęk płuc
J82,Eozynofilia płucna niesklasyfikowana gdzie indziej
J84.0,Choroby pęcherzyków płucnych i tkanki okołopęcherzykowej
J84.1,Inne choroby tkanki śródmiąższowej płuc ze zwłóknieniem
J84.8,Inne określone choroby tkanki śródmiąższowej płuc
J84.9,Nieokreślona choroba tkanki śródmiąższowej płuc
J85.0,Zgorzel lub martwica płuca
J85.1,Ropień płuca z zapaleniem płuc
J85.2,Ropień płuca bez zapalenia płuc
J85.3,Ropień śródpiersia
J86.0,Ropniak opłucnej z przetoką
J86.9,Ropniak opłucnej bez przetoki
J90,Wysięk opłucnowy niesklasyfikowany gdzie indziej
J91,Wysięk opłucnowy w przebiegu chorób sklasyfikowanych gdzie indziej
J92.0,Blaszka opłucnej współistniejąca z azbestozą
J92.9,Blaszka opłucnej bez azbestozy
J93.0,Odma opłucnowa samoistna z wysiłku
J93.1,Inna samoistna odma opłucnowa
J93.8,Inna odma opłucnowa
J93.9,Nieokreślona odma opłucnowa
J94.0,Wysięk (opłucnowy) mleczowy
J94.1,Zarośnięcie jamy opłucnej
J94.2,Krwiak opłucnej
J94.8,Inne określone schorzenia opłucnej
J94.9,Nieokreślona choroba opłucnej
J95.0,Nieprawidłowa czynność po tracheostomii
J95.1,Ostra niewydolność płucna w następstwie zabiegu chirurgicznego na klatce piersiowej
J95.2,Ostra niewydolność płucna w następstwie zabiegu chirurgicznego poza klatką piersiową
J95.3,Przewlekła niewydolność płucna w następstwie zabiegu chirurgicznego
J95.4,Zespół Mendelsona
J95.5,Chirurgiczne podgłośniowe zwężenie (krtani)
J95.8,Inne chirurgiczne (pozabiegowe) zaburzenia układu oddechowego
J95.9,Nieokreślone chirurgiczne (pozabiegowe) zaburzenie układu oddechowego
J96.0,Ostra niewydolność oddechowa
J96.1,Przewlekła niewydolność oddechowa
J96.9,Nieokreślona niewydolność oddechowa
J98.0,Choroby oskrzela niesklasyfikowane gdzie indziej
J98.1,Zapadnięcie się płuca
J98.2,Rozedma śródmiąższowa
J98.3,Rozedma wyrównawcza
J98.4,Inne choroby płuc
J98.5,Choroby śródpiersia niesklasyfikowane gdzie indziej
J98.6,Choroby przepony
J98.8,Inne określone choroby układu oddechowego
J98.9,Nieokreślona choroba układu oddechowego
J99.0,Reumatoidalna choroba płuc (M05.1+)
J99.1,Zaburzenia układu oddechowego w innych rozlanych (układowych) chorobach tkanki łącznej
J99.8,Zaburzenia układu oddechowego w innych chorobach sklasyfikowanych gdzie indziej
K00.6,Zaburzenia w wyrzynaniu się zębów
K00.7,Zespół ząbkowania
K01.0,Wtopione zęby
K01.1,Zaklinowane zęby
K02.0,Próchnica ograniczona do szkliwa
K02.1,Próchnica zębiny
K02.2,Próchnica cementu
K02.3,Zatrzymana próchnica zębów
K02.4,Odontoklazja
K02.8,Inne próchnice zębów
K02.9,Próchnica zębów, nieokreślona
K03.1,Starcie zębów pochodzenia mechanicznego
K04.7,Ropień okołowierzchołkowy bez zajęcia zatoki szczękowej
K05.0,Ostre zapalenie dziąseł
K05.1,Przewlekłe zapalenie dziąseł
K05.2,Ostre zapalenie przyzębia
K05.3,Przewlekłe zapalenie przyzębia
K05.4,Desmodontoza
K05.5,Inne choroby przyzębia
K05.6,Choroba przyzębia, nieokreślona
K06.0,Zanik dziąseł
K06.1,Przerost dziąseł
K06.2,Uszkodzenie dziąseł i bezzębnego wyrostka zębodołowego związane z urazem
K06.8,Inne określone zaburzenia dziąseł i bezzębnego wyrostka zębodołowego
K06.9,Zaburzenia dziąseł i bezzębnego wyrostka zębodołowego, nieokreślone
K08.0,Eksfoliacja zębów w wyniku przyczyn układowych
K08.1,Utrata zębów z powodu wypadku, usunięcia lub miejscowych chorób przyzębia
K08.2,Zanik grzbietu bezzębnego wyrostka zębodołowego
K08.3,Zatrzymany korzeń zęba
K08.8,Inne określone zaburzenia zębów i struktur podtrzymujących
K09.0,Torbiele rozwojowe zębopochodne
K09.1,Torbiele rozwojowe (niezębopochodne) okolicy jamy ustnej
K09.2,Inne torbiele szczęk
K09.8,Inne torbiele okolicy jamy ustnej niesklasyfikowane gdzie indziej
K10.0,Zaburzenia rozwojowe szczęk i żuchwy
K10.1,Ziarniniak olbrzymiokmórkowy, centralny
K10.2,Stany zapalne szczęk i żuchwy
K10.3,Zapalenie zębodołu szczęk i żuchwy
K10.8,Inne określone choroby szczęk i żuchwy
K11.0,Zanik gruczołu ślinowego
K11.1,Przerost gruczołu ślinowego
K11.2,Zapalenie gruczołu ślinowego
K11.3,Ropień gruczołu ślinowego
K11.4,Przetoka gruczołu ślinowego
K11.5,Kamica ślinianek
K11.6,Torbiel śluzowa [mukocele]
K11.7,Zaburzenia wydzielania śliny
K11.8,Inne choroby gruczołów ślinowych
K12.0,Nawracające afty jamy ustnej
K12.1,Inne postacie zapalenia jamy ustnej
K12.2,Zapalenie tkanki łącznej i ropień jamy ustnej
K13.0,Choroby warg
K13.1,Nagryzanie policzka i wargi
K13.2,Rogowacenie białe i inne choroby nabłonka jamy ustnej, włączając język
K13.3,Włochate rogowacenie białe
K13.4,Ziarniniak i ziarniniakopodobne choroby śluzówki jamy ustnej
K13.5,Zwłóknienie podśluzowe jamy ustnej
K13.6,Rozrost z podrażnienia śluzówki jamy ustnej
K13.7,Inne i nieokreślone choroby śluzówki jamy ustnej
K14.0,Zapalenie języka
K14.1,Język geograficzny
K14.2,Zapalenie języka pośrodkowe romboidalne
K14.3,Przerost brodawek języka
K14.4,Zanik brodawek języka
K14.8,Inne choroby języka
K20,Zapalenie przełyku
K21.0,Zarzucanie (refluks) żołądkowo-przełykowe z zapaleniem przełyku
K21.9,Zarzucanie żołądkowo-przełykowe bez zapalenia przełyku
K22.0,Achalazja wpustu
K22.1,Wrzód przełyku
K22.2,Niedrożność przełyku
K22.3,Przedziurawienie przełyku
K22.4,Dyskineza przełyku
K22.5,Uchyłek przełyku nabyty
K22.6,Żołądkowo-przełykowe pęknięcie śluzówki z krwawieniem
K22.8,Inne określone choroby przełyku
K22.9,Choroba przełyku, nieokreślona
K23.0,Gruźlicze zapalenie przełyku (A18.8+)
K23.1,Przełyk olbrzymi w chorobie Chagasa (B57.3+)
K23.8,Zaburzenia przełyku w innych chorobach sklasyfikowanych gdzie indziej
K25.0,Wrzód żołądka (ostry z krwotokiem)
K25.1,Wrzód żołądka (ostry z przedziurawieniem)
K25.2,Wrzód żołądka (ostry z krwotokiem i przedziurawieniem)
K25.3,Wrzód żołądka (ostry bez wzmianki o krwotoku lub przedziurawieniu)
K25.4,Wrzód żołądka (przewlekły lub nieokreślony z krwotokiem)
K25.5,Wrzód żołądka (przewlekły lub nieokreślony z przedziurawieniem)
K25.6,Wrzód żołądka (przewlekły lub nieokreślony z krwotokiem i z przedziurawieniem)
K25.7,Wrzód żołądka (przewlekły bez wzmianki o krwotoku lub przedziurawieniu)
K25.9,Wrzód żołądka (nieokreślony jako ostry lub przewlekły bez wzmianki o krwotoku lub przedziurawieniu)
K26.0,Wrzód dwunastnicy (ostry z krwotokiem)
K26.1,Wrzód dwunastnicy (ostry z przedziurawieniem)
K26.2,Wrzód dwunastnicy (ostry z krwotokiem i przedziurawieniem)
K26.3,Wrzód dwunastnicy (ostry bez wzmianki o krwotoku lub przedziurawieniu)
K26.4,Wrzód dwunastnicy (przewlekły lub nieokreślony z krwotokiem)
K26.5,Wrzód dwunastnicy (przewlekły lub nieokreślony z przedziurawieniem)
K26.6,Wrzód dwunastnicy (przewlekły lub nieokreślony z krwotokiem i z przedziurawieniem)
K26.7,Wrzód dwunastnicy (przewlekły bez wzmianki o krwotoku lub przedziurawieniu)
K26.9,Wrzód dwunastnicy (nieokreślony jako ostry lub przewlekły bez wzmianki o krwotoku lub przedziurawieniu)
K27.0,Wrzód trawienny o nieokreślonym umiejscowieniu (ostry z krwotokiem)
K27.1,Wrzód trawienny o nieokreślonym umiejscowieniu (ostry z przedziurawieniem)
K27.2,Wrzód trawienny o nieokreślonym umiejscowieniu (ostry z krwotokiem i przedziurawieniem)
K27.3,Wrzód trawienny o nieokreślonym umiejscowieniu (ostry bez wzmianki o krwotoku lub przedziurawieniu)
K27.4,Wrzód trawienny o nieokreślonym umiejscowieniu (przewlekły lub nieokreślony z krwotokiem)
K27.5,Wrzód trawienny o nieokreślonym umiejscowieniu (przewlekły lub nieokreślony z przedziurawieniem)
K27.6,Wrzód trawienny o nieokreślonym umiejscowieniu (przewlekły lub nieokreślony z krwotokiem i z przedziurawieniem)
K27.7,Wrzód trawienny o nieokreślonym umiejscowieniu (przewlekły bez wzmianki o krwotoku lub przedziurawieniu)
K27.9,Wrzód trawienny o nieokreślonym umiejscowieniu (nieokreślony jako ostry lub przewlekły bez wzmianki o krwotoku lub przedziurawieniu)
K28.0,Wrzód żołądka i jelit (ostry z krwotokiem)
K28.1,Wrzód żołądka i jelit (ostry z przedziurawieniem)
K28.2,Wrzód żołądka i jelit (ostry z krwotokiem i przedziurawieniem)
K28.3,Wrzód żołądka i jelit (ostry bez wzmianki o krwotoku lub przedziurawieniu)
K28.4,Wrzód żołądka i jelit (przewlekły lub nieokreślony z krwotokiem)
K28.5,Wrzód żołądka i jelit (przewlekły lub nieokreślony z przedziurawieniem)
K28.6,Wrzód żołądka i jelit (przewlekły lub nieokreślony z krwotokiem i z przedziurawieniem)
K28.7,Wrzód żołądka i jelit (przewlekły bez wzmianki o krwotoku lub przedziurawieniu)
K28.9,Wrzód żołądka i jelit (nieokreślony jako ostry lub przewlekły bez wzmianki o krwotoku lub przedziurawieniu)
K29.0,Ostre krwotoczne zapalenie żołądka
K29.1,Inne ostre zapalenie żołądka
K29.2,Alkoholowe zapalenie żołądka
K29.3,Przewlekłe powierzchowne zapalenie żołądka
K29.4,Przewlekłe zanikowe zapalenie żołądka
K29.5,Przewlekłe zapalenie żołądka, nieokreślone
K29.6,Inne zapalenia żołądka
K29.7,Zapalenie żołądka, nieokreślone
K29.8,Zapalenie dwunastnicy
K29.9,Zapalenie żołądka i dwunastnicy, nieokreślone
K30,Dyspepsja
K31.0,Ostra rozstrzeń żołądka
K31.1,Zwężenie przerostowe odźwiernika dorosłych
K31.2,Przewężenie klepsydrowate lub zwężenie żołądka
K31.3,Kurcz odźwiernika niesklasyfikowany gdzie indziej
K31.4,Uchyłek żołądka
K31.5,Niedrożność dwunastnicy
K31.6,Przetoka żołądka lub dwunastnicy
K31.8,Inne określone choroby żołądka i dwunastnicy
K31.9,Choroba żołądka i dwunastnicy, nieokreślone
K35.0,Ostre zapalenie wyrostka robaczkowego z rozlanym zapaleniem otrzewnej
K35.1,Ostre zapalenie wyrostka robaczkowego z ropniem otrzewnej
K35.9,Ostre zapalenie wyrostka robaczkowego, nieokreślone
K36,Inne zapalenie wyrostka robaczkowego
K37,Zapalenie wyrostka robaczkowego, nieokreślone
K38.0,Rozrost wyrostka robaczkowego
K38.1,Kamienie wyrostkowe
K38.2,Uchyłek wyrostka robaczkowego
K38.3,Przetoka wyrostka robaczkowego
K38.8,Inne określone choroby wyrostka robaczkowego
K38.9,Choroby wyrostka robaczkowego, nieokreślone
K40.0,Obustronna przepuklina pachwinowa, z niedrożnością bez zgorzeli
K40.1,Obustronna przepuklina pachwinowa, ze zgorzelą
K40.2,Obustronna przepuklina pachwinowa, bez niedrożności lub zgorzeli
K40.3,Jednostronna lub nieokreślona przepuklina pachwinowa z niedrożnością bez zgorzeli
K40.4,Jednostronna lub nieokreślona przepuklina pachwinowa ze zgorzelą
K40.9,Jednostronna lub nieokreślona przepuklina pachwinowa bez niedrożności lub zgorzeli
K41.3,Jednostronna lub nieokreślona przepuklina udowa, z niedrożnością bez zgorzeli
K42.0,Przepuklina pępkowa, z niedrożnością bez zgorzeli
K42.9,Przepuklina pępkowa bez niedrożności lub zgorzeli
K43.0,Przepuklina brzuszna z niedrożnością bez zgorzeli
K44.9,Przepuklina przeponowa bez niedrożności lub zgorzeli
K46.1,Nieokreślone przepukliny brzuszne ze zgorzelą
K50.0,Choroba Crohna jelita cienkiego
K50.1,Choroba Crohna jelita grubego
K50.8,Inne postacie choroby Crohna
K50.9,Choroba Crohna, nieokreślona
K51.0,Wrzodziejące (przewlekłe) zapalenie jelita cienkiego i grubego
K51.1,Wrzodziejące (przewlekłe) zapalenie jelita krętego i grubego
K51.2,Wrzodziejące (przewlekłe) zapalenie prostnicy
K51.3,Wrzodziejące (przewlekłe) zapalenie prostnicy i esicy
K51.4,Rzekoma polipowatość jelita grubego
K51.5,Śluzowe zapalenie prostnicy i okrężnicy
K51.8,Inne wrzodziejące zapalenie jelita grubego
K51.9,Wrzodziejące zapalenie jelita grubego, nieokreślone
K52.0,Zapalenie żołądka, jelit i okrężnicy wywołane promieniowaniem
K52.1,Toksyczne zapalenie żołądka, jelit i okrężnicy
K52.2,Uczuleniowe i związane z działaniem pokarmu zapalenie żołądkowo-jelitowe i jelita grubego
K52.8,Inne określone niezakaźne zapalenie żołądkowo-jelitowe i jelita grubego
K52.9,Niezakaźne zapalenie żołądkowo-jelitowe i jelita grubego, nieokreślone
K55.0,Ostre naczyniowe zaburzenia jelit
K55.1,Przewlekłe naczyniowe zaburzenia jelit
K55.2,Angiodysplazja jelita grubego
K55.8,Inne naczyniowe zaburzenia jelit
K55.9,Naczyniowe zaburzenia jelit, nieokreślone
K56.0,Niedrożność porażenna
K56.1,Wgłobienie
K56.2,Skręt jelita
K56.3,Niedrożność wywołana kamieniem żółciowym
K56.4,Inne postacie zatkania jelita
K56.5,Zrosty jelitowe z niedrożnością
K56.6,Inne i nieokreślone postacie niedrożności jelitowej
K56.7,Niedrożność, nieokreślona
K57.0,Choroba uchyłkowa jelita cienkiego z przedziurawieniem i ropniem
K57.1,Choroba uchyłkowa jelita cienkiego bez przedziurawienia lub ropnia
K57.2,Choroba uchyłkowa jelita grubego z przedziurawieniem i ropniem
K57.3,Choroba uchyłkowa jelita grubego bez przedziurawienia lub ropnia
K57.4,Choroba uchyłkowa jelita cienkiego i grubego z przedziurawieniem i ropniem
K57.5,Choroba uchyłkowa jelita cienkiego i grubego bez przedziurawienia lub ropnia
K57.8,Choroba uchyłkowa jelita, części nieokreślonej, z przedziurawieniem i ropniem
K57.9,Choroba uchyłkowa jelita, części nieokreślonej, bez przedziurawienia lub ropnia
K58.0,Zespół pobudliwego jelita z biegunką
K58.9,Zespół pobudliwego jelita bez biegunki
K59.0,Zaparcie
K59.1,Biegunka czynnościowa
K59.2,Jelito neurogenne, niesklasyfikowane gdzie indziej
K59.3,Okrężnica olbrzymia [megacolon], niesklasyfikowana gdzie indziej
K59.8,Inne określone czynnościowe zaburzenia jelit
K59.9,Czynnościowe zaburzenia jelit, nieokreślone
K60.0,Ostra szczelina odbytu
K60.1,Przewlekła szczelina odbytu
K60.2,Szczelina odbytu, nieokreślona
K60.4,Przetoka odbytnicza
K60.5,Przetoka odbytowo-odbytnicza
K61.0,Ropień odbytu
K61.1,Ropień odbytniczy
K61.2,Ropień odbytniczo-odbytowy
K61.3,Ropień kulszowo-odbytniczy
K61.4,Ropień wewnątrzzwieraczowy
K62.1,Polip odbytnicy
K62.2,Wypadnięcie odbytu
K62.3,Wypadnięcie odbytnicy
K62.4,Zwężenie odbytu i odbytnicy
K62.5,Krwawnienie z odbytu i odbytnicy
K62.6,Wrzód odbytu i odbytnicy
K62.7,Popromienne zapalenie prostnicy
K62.8,Inne określone choroby odbytu i odbytnicy
K62.9,Choroby odbytu i odbytnicy, nieokreślone
K63.0,Ropień jelit
K63.1,Przedziurawienie jelita (nieurazowe)
K63.2,Przetoka jelitowa
K63.3,Wrzód jelita
K63.4,Opadnięcie trzewi
K63.8,Inne określone choroby jelit
K63.9,Choroba jelita, nieokreślona
K65.0,Ostre zapalenie otrzewnej
K65.8,Inne zapalenie otrzewnej
K65.9,Zapalenie otrzewnej, nieokreślone
K66.0,Zrosty otrzewnowe
K66.1,Krwiak otrzewnej
K66.8,Inne określone zaburzenia otrzewnej
K66.9,Schorzenia otrzewnej, nieokreślone
K67.0,Zapalenie otrzewnej wywołane przez Chlamydie (A74.8+)
K67.1,Rzeżączkowe zapalenie otrzewnej (A54.8+)
K67.2,Kiłowe zapalenie otrzewnej (A52.7+)
K67.3,Gruźlicze zapalenie otrzewnej (A18.3+)
K67.8,Inne zaburzenia otrzewnej w chorobach zakaźnych sklasyfikowanych gdzie indziej
K70.0,Alkoholowe stłuszczenie wątroby
K70.1,Alkoholowe zapalenie wątroby
K70.2,Alkoholowe zwłóknienie i stwardnienie wątroby
K70.3,Alkoholowa marskość wątroby
K70.4,Alkoholowa niewydolność wątroby
K70.9,Alkoholowa choroba wątroby, nieokreślona
K71.0,Toksyczna choroba wątroby z zastojem żółci
K71.1,Toksyczna choroba wątroby z martwicą wątroby
K71.2,Toksyczna choroba wątroby z ostrym zapaleniem wątroby
K71.3,Toksyczna choroba wątroby z przewlekłym przetrwałym zapaleniem wątroby
K71.4,Toksyczna choroba wątroby z przewlekłym zrazikowym zapaleniem wątroby
K71.5,Toksyczna choroba wątroby z przewlekłym aktywnym zapaleniem wątroby
K71.6,Toksyczna choroba wątroby z zapaleniem wątroby niesklasyfikowanym gdzie indziej
K71.7,Toksyczna choroba wątroby ze zwłóknieniem i marskością wątroby
K71.8,Toksyczna choroba wątroby z innymi zaburzeniami wątroby
K71.9,Toksyczna choroba wątroby, nieokreślona
K72.0,Ostra i podostra niewydolność wątroby
K72.1,Przewlekła niewydolność wątroby
K72.9,Niewydolność wątroby, nieokreślona
K73.0,Przewlekłe przetrwałe zapalenie wątroby niesklasyfikowane gdzie indziej
K73.1,Przewlekłe zrazikowe zapalenie wątroby niesklasyfikowane gdzie indziej
K73.2,Przewlekłe aktywne zapalenie wątroby niesklasyfikowane gdzie indziej
K73.8,Inne przewlekłe zapalenie wątroby niesklasyfikowane gdzie indziej
K73.9,Przewlekłe zapalenie wątroby, nieokreślone
K74.0,Zwłóknienie wątroby
K74.1,Stwardnienie wątroby
K74.2,Zwłóknienie wątroby ze stwardnieniem wątroby
K74.3,Pierwotna marskość żółciowa
K74.4,Wtórna marskość żółciowa
K74.5,Marskość żółciowa, nieokreślona
K74.6,Inna i nieokreślona marskość wątroby
K75.0,Ropień wątroby
K75.1,Zapalenie żyły wrotnej
K75.2,Nieokreślone odczynowe zapalenie wątroby
K75.3,Ziarniniakowe zapalenie wątroby niesklasyfikowane gdzie indziej
K75.8,Inne określone choroby zapalne wątroby
K75.9,Choroba zakaźna wątroby, nieokreślona
K76.0,Stłuszczenie wątroby niesklasyfikowane gdzie indziej
K76.1,Przewlekłe przekrwienie bierne wątroby
K76.2,Centralna krwotoczna martwica wątroby
K76.3,Zawał wątroby
K76.4,Plamica wątroby
K76.5,Choroba wątroby z zamknięciem naczyń żylnych
K76.6,Nadciśnienie wrotne
K76.7,Zespół wątrobowo-nerkowy
K76.8,Inne określone choroby wątroby
K76.9,Choroba wątroby, nieokreślona
