A01, Badania laboratoryjne i inne -> Analityka -> Badanie ogólne moczu (profil)
56.897, Operacje moczowodu -> Zabiegi naprawcze moczowodu -> Inne zabiegi naprawcze moczowodu -> Rozszerzenie zwężenia moczowodu pod kontrolą fluoroskopii z dostępu przez przetokę nerkową wytworzoną wcześniej
56.901, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Ureteroskopia i rozcięcie zwężenia moczowodu -> Ureteroskopia ureteroskopem sztywnym i rozcięcie zwężenia moczowodu z użyciem noża „zimnego” lub elektrokoagulacji tnącej
56.902, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Ureteroskopia i rozcięcie zwężenia moczowodu -> Ureteroskopia ureteroskopem sztywnym i rozcięcie zwężenia moczowodu z użyciem lasera
56.903, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Ureteroskopia i rozcięcie zwężenia moczowodu -> Ureteroskopia ureteroskopem giętkim i rozcięcie zwężenia moczowodu z użyciem lasera
56.911, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Rozszerzenie ujścia moczowodu -> Rozszerzenie ujścia moczowodu metodą otwartą
56.912, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Rozszerzenie ujścia moczowodu -> Przezcewkowe rozszerzenie ujścia pęcherzowego moczowodu
56.92, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Wszczepienie elektronicznego stymulatora moczowodu
56.93, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Wymiana elektronicznego stymulatora moczowodu
56.94, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Usunięcie elektronicznego stymulatora moczowodu
56.95, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Podwiązanie moczowodu
56.961, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Przezcewkowe wprowadzenie cewnika do moczowodu lub usunięcie  -> Przezcewkowe wprowadzenie cewnika prostego do moczowodu albo wymiana
56.962, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Przezcewkowe wprowadzenie cewnika do moczowodu lub usunięcie  -> Przezcewkowe wprowadzenie cewnika podwójnie zagiętego (2xJ) do górnych dróg moczowych albo wymiana
56.97, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Przezcewkowe wstrzyknięcie materiału obojętnego biologicznie pod podśluzówkowy odcinek moczowodu
56.981, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Proteza moczowodu -> Wprowadzenie protezy metalowej do moczowodu ureterorenoskopowo
56.982, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Proteza moczowodu -> Usunięcie protezy metalowej z moczowodu
56.983, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Proteza moczowodu -> Umieszczenie innej protezy w moczowodzie
56.984, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Proteza moczowodu -> Usunięcie innej protezy z moczowodu
56.991, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Inne operacje moczowodu -> Wycięcie kikuta moczowodu po nefrektomii wykonanej wcześniej
56.992, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Inne operacje moczowodu -> Operacja przetoki moczowodowo-pochwowej z zachowaniem nerki
56.993, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Inne operacje moczowodu -> Rewizja operacyjna moczowodu (z uwolnieniem zrostów, zszyciem rany moczowodu lub usunięciem przewiązki moczowodu) metodą otwartą
56.994, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Inne operacje moczowodu -> Operacja moczowodu położonego poza żyłą główną dolną (lub biodrową) z przecięciem moczowodu i jego zespoleniem metodą otwartą
56.995, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Inne operacje moczowodu -> Rewizja operacyjna moczowodu (z uwolnieniem zrostów, zszyciem rany moczowodu lub usunięciem przewiązki moczowodu) laparoskopowo albo retroperitoneoskopowo
56.996, Operacje moczowodu -> Inne zabiegi w obrębie moczowodu -> Inne operacje moczowodu -> Operacja moczowodu położonego poza żyłą główną dolną (lub biodrową) z przecięciem moczowodu i jego zespoleniem laparoskopowo albo retroperitoneoskopowo
57.01, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe opróżnienie pęcherza moczowego -> Drenaż pęcherza moczowego bez nacięcia
57.021, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe opróżnienie pęcherza moczowego -> Usunięcie skrzepów z pęcherza bez nacięcia -> Uretrocystoskopia i wypłukanie skrzepów z pęcherza oraz opanowanie krwawienia po wcześniejszym zabiegu przezcewkowym
57.029, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe opróżnienie pęcherza moczowego -> Usunięcie skrzepów z pęcherza bez nacięcia -> Usunięcie skrzepów z pęcherza bez nacięcia – inne
57.031, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe opróżnienie pęcherza moczowego -> Usunięcie kamieni z pęcherza bez nacięcia -> Uretrocystoskopia i usunięcie kamieni albo kamienia w całości z pęcherza przez cewkę moczową
57.032, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe opróżnienie pęcherza moczowego -> Usunięcie kamieni z pęcherza bez nacięcia -> Uretrocystoskopia i skruszenie kleszczami, sonotrodą, litoklastem lub metodą elektrohydrauliczną kamieni albo kamienia oraz ich usunięcie z pęcherza przez cewkę moczową
57.033, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe opróżnienie pęcherza moczowego -> Usunięcie kamieni z pęcherza bez nacięcia -> Uretrocystoskopia i skruszenie laserem kamieni albo kamienia oraz ich usunięcie z pęcherza przez cewkę moczową
57.04, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe opróżnienie pęcherza moczowego -> Uretrocystoskopia i usunięcie ciała obcego z pęcherza przez cewkę moczową
57.09, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe opróżnienie pęcherza moczowego -> Opróżnienie pęcherza moczowego - inne
57.11, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Przezskórne opróżnienie pęcherza (nakłucie i aspiracja)
57.12, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Uwolnienie zrostów śródpęcherzowych z nacięciem pęcherza
57.131, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Uretrocystoskopia i rozcięcie szyi pęcherza -> Uretrocystoskopia i rozcięcie elektrodą lub elektroresekcja szyi pęcherza
57.132, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Uretrocystoskopia i rozcięcie szyi pęcherza -> Uretrocystoskopia i rozcięcie laserem szyi pęcherza
57.141, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Uretrocystoskopia i rozcięcie wrót uchyłka pęcherza -> Uretrocystoskopia i rozcięcie elektrodą wrót uchyłka pęcherza
57.142, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Uretrocystoskopia i rozcięcie wrót uchyłka pęcherza -> Uretrocystoskopia i rozcięcie laserem wrót uchyłka pęcherza
57.171, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Przezskórna cystostomia -> Wytworzenie przetoki nadłonowej (cystostomia)
57.172, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Przezskórna cystostomia -> Wytworzenie przezskórnej przetoki nadłonowej (cystostomia) metodą nakłucia
57.173, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Przezskórna cystostomia -> Usunięcie kamieni albo kamienia lub ciała obcego w całości z pęcherza przez przetokę nadłonową wytworzoną jednoczasowo
57.174, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Przezskórna cystostomia -> Skruszenie i usunięcie kamieni albo kamienia z pęcherza przez przetokę nadłonową wytworzoną jednoczasowo
57.175, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Przezskórna cystostomia -> Usunięcie kamieni albo kamienia w całości lub ciała obcego z pęcherza przez przetokę nadłonową wytworzoną wcześniej
57.176, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Przezskórna cystostomia -> Skruszenie i usunięcie kamieni albo kamienia z pęcherza przez przetokę nadłonową wytworzoną wcześniej
57.18, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Inne przetoki nadłonowe
57.191, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Inna cystotomia -> Usunięcie kamienia z pęcherza moczowego przez nacięcie (cystolitotomia)
57.192, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Inna cystotomia -> Usunięcie ciała obcego z pęcherza przez jego nacięcie
57.199, Operacje i zabiegi w zakresie pęcherza moczowego -> Nacięcie pęcherza (cystotomia) i przetoka pęcherzowa (cystotomia) -> Inna cystotomia -> Cystotomia - inne
57.21, Operacje i zabiegi w zakresie pęcherza moczowego -> Zespolenie pęcherzowo-skórne (vesicostomia) -> Wytworzenie trwałej przetoki pęcherzowo-skórnej z użyciem płata pęcherza
57.22, Operacje i zabiegi w zakresie pęcherza moczowego -> Zespolenie pęcherzowo-skórne (vesicostomia) -> Rewizja lub zamknięcie przetoki pęcherzowo-skórnej
57.29, Operacje i zabiegi w zakresie pęcherza moczowego -> Zespolenie pęcherzowo-skórne (vesicostomia) -> Zespolenie pęcherzowo-skórne - inne
57.31, Operacje i zabiegi w zakresie pęcherza moczowego -> Zabiegi diagnostyczne w zakresie pęcherza moczowego -> Cystoskopia przez przetokę pęcherzową
57.32, Operacje i zabiegi w zakresie pęcherza moczowego -> Zabiegi diagnostyczne w zakresie pęcherza moczowego -> Cystoskopia przezcewkowa
57.331, Operacje i zabiegi w zakresie pęcherza moczowego -> Zabiegi diagnostyczne w zakresie pęcherza moczowego -> Przezcewkowa biopsja pęcherza moczowego -> Uretrocystoskopia cystoskopem sztywnym z biopsją
57.332, Operacje i zabiegi w zakresie pęcherza moczowego -> Zabiegi diagnostyczne w zakresie pęcherza moczowego -> Przezcewkowa biopsja pęcherza moczowego -> Uretrocystoskopia cystoskopem giętkim z biopsją
57.34, Operacje i zabiegi w zakresie pęcherza moczowego -> Zabiegi diagnostyczne w zakresie pęcherza moczowego -> Otwarta biopsja pęcherza moczowego
57.35, Operacje i zabiegi w zakresie pęcherza moczowego -> Zabiegi diagnostyczne w zakresie pęcherza moczowego -> Przezcewkowa diagnostyka fotodynamiczna (PDD)
57.36, Operacje i zabiegi w zakresie pęcherza moczowego -> Zabiegi diagnostyczne w zakresie pęcherza moczowego -> Cystoskopia przez przetokę nadłonową wytworzoną wcześniej
57.37, Operacje i zabiegi w zakresie pęcherza moczowego -> Zabiegi diagnostyczne w zakresie pęcherza moczowego -> Cewnikowanie i pobranie moczu albo popłuczyn z pęcherza do badania
57.39, Operacje i zabiegi w zakresie pęcherza moczowego -> Zabiegi diagnostyczne w zakresie pęcherza moczowego -> Zabiegi diagnostyczne pęcherza moczowego - inne
57.41, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Przezcewkowe uwolnienie zrostów śródpęcherzowych
57.421, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i elektroresekcja guza pęcherza (TURBT) -> Uretrocystoskopia i elektroresekcja (standardowa, monopolarna) małego (<3 cm) guza pęcherza (TURBT)
57.422, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i elektroresekcja guza pęcherza (TURBT) -> Uretrocystoskopia i elektroresekcja (standardowa, monopolarna) dużego (>3 cm) guza lub guzów mnogich pęcherza (TURBT)
57.423, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i elektroresekcja guza pęcherza (TURBT) -> Uretrocystoskopia i elektroresekcja (bipolarna w 0,9% roztworze NaCl) małego (<3 cm) guza pęcherza (TURBTiS)
57.424, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i elektroresekcja guza pęcherza (TURBT) -> Uretrocystoskopia i elektroresekcja (bipolarna w 0,9% roztworze NaCl) dużego (>3 cm) guza lub guzów mnogich pęcherza (TURBTiS)
57.431, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i ablacja laserowa guza pęcherza  -> Uretrocystoskopia, biopsja i ablacja laserowa guza pęcherza
57.432, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i ablacja laserowa guza pęcherza  -> Uretrocystoskopia i ablacja laserowa guza pęcherza bez biopsji (biopsje wykonano wcześniej)
57.441, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i ablacja laserowa guza pęcherza z wykorzystaniem efektu fotodynamicznego (PDT) -> Uretrocystoskopia i biopsja oraz ablacja laserowa guza pęcherza z wykorzystaniem efektu fotodynamicznego (PDT)
57.442, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i ablacja laserowa guza pęcherza z wykorzystaniem efektu fotodynamicznego (PDT) -> Uretrocystoskopia i ablacja laserowa guza pęcherza z wykorzystaniem efektu fotodynamicznego (PDT) bez biopsji (biopsję wykonano wcześniej)
57.451, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i rozciągnięcie (dystensja) pęcherza -> Uretrocystoskopia i rozciągnięcie (dystensja) pęcherza bez biopsji
57.452, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i rozciągnięcie (dystensja) pęcherza -> Uretrocystoskopia i rozciągnięcie (dystensja) pęcherza z biopsją
57.46, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i wstrzyknięcie leku do ściany pęcherza lub szyi pęcherza
57.47, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i wycięcie lub rozcięcie szyi pęcherza
57.48, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Uretrocystoskopia i leczenie endoskopowe przetoki pęcherzowo-pochwowej z użyciem kleju tkankowego
57.49, Operacje i zabiegi w zakresie pęcherza moczowego -> Przezcewkowe wycięcie lub zniszczenie tkanki pęcherza moczowego -> Inne przezcewkowe wycięcie lub zniszczenie zmiany patologicznej lub tkanki pęcherza moczowego
57.511, Operacje i zabiegi w zakresie pęcherza moczowego -> Inne wycięcie lub zniszczenie tkanki pęcherza moczowego -> Wycięcie moczownika -> Wycięcie torbieli moczownika
57.512, Operacje i zabiegi w zakresie pęcherza moczowego -> Inne wycięcie lub zniszczenie tkanki pęcherza moczowego -> Wycięcie moczownika -> Wycięcie uchyłka pęcherza metodą otwartą
57.513, Operacje i zabiegi w zakresie pęcherza moczowego -> Inne wycięcie lub zniszczenie tkanki pęcherza moczowego -> Wycięcie moczownika -> Wycięcie uchyłka pęcherza laparoskopowo
57.591, Operacje i zabiegi w zakresie pęcherza moczowego -> Inne wycięcie lub zniszczenie tkanki pęcherza moczowego -> Otwarte wycięcie innej zmiany lub tkanki pęcherza -> Otwarte wycięcie ogniska endometriozy pęcherza
57.592, Operacje i zabiegi w zakresie pęcherza moczowego -> Inne wycięcie lub zniszczenie tkanki pęcherza moczowego -> Otwarte wycięcie innej zmiany lub tkanki pęcherza -> Otwarte nadłonowe wycięcie zmiany pęcherza
57.599, Operacje i zabiegi w zakresie pęcherza moczowego -> Inne wycięcie lub zniszczenie tkanki pęcherza moczowego -> Otwarte wycięcie innej zmiany lub tkanki pęcherza -> Otwarte wycięcie innej zmiany lub tkanki pęcherza - inne
57.61, Operacje i zabiegi w zakresie pęcherza moczowego -> Częściowe wycięcie pęcherza moczowego -> Wycięcie szczytu/ sklepienia pęcherza
57.62, Operacje i zabiegi w zakresie pęcherza moczowego -> Częściowe wycięcie pęcherza moczowego -> Wycięcie trójkąta pęcherza
57.63, Operacje i zabiegi w zakresie pęcherza moczowego -> Częściowe wycięcie pęcherza moczowego -> Klinowa resekcja pęcherza
57.64, Operacje i zabiegi w zakresie pęcherza moczowego -> Częściowe wycięcie pęcherza moczowego -> Wycięcie pęcherza częściowe bez przeszczepienia moczowodu metodą otwartą – operacja prosta
57.65, Operacje i zabiegi w zakresie pęcherza moczowego -> Częściowe wycięcie pęcherza moczowego -> Wycięcie pęcherza częściowe bez przeszczepienia moczowodu metodą otwartą – operacja skomplikowana
57.66, Operacje i zabiegi w zakresie pęcherza moczowego -> Częściowe wycięcie pęcherza moczowego -> Wycięcie pęcherza częściowe z przeszczepieniem moczowodu
57.67, Operacje i zabiegi w zakresie pęcherza moczowego -> Częściowe wycięcie pęcherza moczowego -> Wycięcie częściowe pęcherza bez przeszczepienia moczowodu laparoskopowo – operacja prosta
57.711, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Radykalne wycięcie pęcherza -> Wytrzewienie miednicy u mężczyzny
57.712, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Radykalne wycięcie pęcherza -> Usunięcie pęcherza, stercza, pęcherzyków nasiennych i tkanki tłuszczowej
57.713, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Radykalne wycięcie pęcherza -> Usunięcie pęcherza, cewki moczowej i tkanki tłuszczowej u kobiety
57.721, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u mężczyzny -> Wycięcie pęcherza radykalne z odprowadzeniem moczu przez wstawkę jelitową u mężczyzny
57.722, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u mężczyzny -> Wycięcie pęcherza radykalne z wytworzeniem zastępczego, kontynentnego zbiornika jelitowego u mężczyzny
57.723, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u mężczyzny -> Wycięcie pęcherza radykalne z wytworzeniem ortotopowego pęcherza jelitowego u mężczyzny
57.724, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u mężczyzny -> Wycięcie pęcherza radykalne z wytworzeniem przetok moczowodowo-skórnych u mężczyzny
57.725, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u mężczyzny -> Wycięcie pęcherza radykalne i całej cewki moczowej męskiej (cystouretrektomia) z wytworzeniem przetok moczowodowo-skórnych
57.726, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u mężczyzny -> Wycięcie pęcherza radykalne i cewki moczowej męskiej z wytworzeniem zastępczego, kontynentnego zbiornika jelitowego
57.727, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u mężczyzny -> Wycięcie pęcherza radykalne i cewki moczowej męskiej z odprowadzeniem moczu przez wstawkę jelitową
57.730, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne wraz z całą cewką moczową, macicą, przydatkami i przednią ścianą pochwy z wytworzeniem przetok moczowodowo-skórnych
57.731, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne wraz z całą cewką moczową, macicą, przydatkami i przednią ścianą pochwy z odprowadzeniem moczu przez wstawkę jelitową
57.732, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne wraz z całą cewką moczową, macicą, przydatkami i przednią ścianą pochwy z wytworzeniem zastępczego, kontynentnego zbiornika jelitowego
57.733, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne wraz z macicą i przydatkami z wytworzeniem ortotopowego pęcherza jelitowego
57.734, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne wraz z macicą i jednostronnym wycięciem przydatków oraz odprowadzeniem moczu przez wstawkę jelitową
57.735, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne wraz z macicą i jednostronnym wycięciem przydatków oraz wytworzeniem zastępczego, kontynentnego zbiornika jelitowego
57.736, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne wraz z macicą i jednostronnym wycięciem przydatków oraz wytworzeniem ortotopowego pęcherza jelitowego
57.737, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne bez macicy ani przydatków oraz odprowadzeniem moczu przez wstawkę jelitową
57.738, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne bez macicy ani przydatków oraz wytworzeniem zastępczego, kontynentnego zbiornika jelitowego
57.739, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne u kobiety -> Wycięcie pęcherza radykalne bez macicy ani przydatków oraz wytworzeniem ortotopowego pęcherza jelitowego
57.741, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne laparoskopowo -> Wycięcie radykalne pęcherza laparoskopowo z odprowadzeniem moczu przez wstawkę jelitową metodą otwartą
57.742, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne laparoskopowo -> Wycięcie radykalne pęcherza laparoskopowo z rekonstrukcją dróg moczowych metodą otwartą
57.743, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne laparoskopowo -> Wycięcie radykalne pęcherza laparoskopowo z wytworzeniem zastępczego, kontynentnego zbiornika jelitowego metoda otwartą
57.744, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne laparoskopowo -> Wycięcie radykalne pęcherza laparoskopowo z wytworzeniem ortotopowego pęcherza jelitowego metodą otwartą
57.745, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne laparoskopowo -> Wycięcie pęcherza radykalne laparoskopowo z wytworzeniem przetok moczowodowo-skórnych metodą otwartą
57.746, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne laparoskopowo -> Wycięcie radykalne pęcherza laparoskopowo z wycięciem całej cewki moczowej męskiej metodą otwartą i wytworzeniem przetok moczowodowo-skórnych metodą otwartą
57.747, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne laparoskopowo -> Wycięcie radykalne pęcherza laparoskopowo z wycięciem całej cewki moczowej męskiej metodą otwartą i odprowadzeniem moczu przez wstawkę jelitową metodą otwartą
57.748, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza radykalne laparoskopowo -> Wycięcie radykalne pęcherza laparoskopowo z wycięciem całej cewki moczowej męskiej metodą otwartą i wytworzeniem zastępczego, kontynentnego zbiornika jelitowego metodą otwartą
57.751, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza proste laparoskopowo -> Wycięcie pęcherza proste (bez limfadenektomii) laparoskopowe z wytworzeniem przetok moczowodow-skórnych metodą otwartą
57.752, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza proste laparoskopowo -> Wycięcie pęcherza proste (bez limfadenektomii) laparoskopowe z odprowadzeniem moczu przez wstawkę jelitową metodą otwartą
57.753, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza proste laparoskopowo -> Wycięcie pęcherza proste (bez limfadenektomii) laparoskopowe z wytworzeniem zastępczego, kontynentnego zbiornika jelitowego metodą otwartą
57.754, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Wycięcie pęcherza proste laparoskopowo -> Wycięcie pęcherza proste (bez limfadenektomii) laparoskopowe z wytworzeniem ortotopowego pęcherza jelitowego metodą otwartą
57.791, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Inne całkowite wycięcie pęcherza -> Wycięcie pęcherza proste (bez limfadenektomii) z wytworzeniem przetok moczowodowo-skórnych u mężczyzny
57.792, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Inne całkowite wycięcie pęcherza -> Wycięcie pęcherza proste (bez limfadenektomii) z odprowadzeniem moczu przez wstawkę jelitową u mężczyzny
57.793, Operacje i zabiegi w zakresie pęcherza moczowego -> Całkowite wycięcie pęcherza moczowego -> Inne całkowite wycięcie pęcherza -> Wycięcie pęcherza proste (bez limfadenektomii) z wytworzeniem zastępczego, kontynentnego zbiornika jelitowego u mężczyzny
